input_row_key,input_company_name,candidate_name,candidate_website,score,is_best_match
0,24-SEVEN MEDIA NETWORK (PRIVATE) LIMITED,New Millennium Network,mnet.com.pk,77.34,True
0,24-SEVEN MEDIA NETWORK (PRIVATE) LIMITED,Private Helipad Ali Villa,,33.54,False
0,24-SEVEN MEDIA NETWORK (PRIVATE) LIMITED,24seven Research Network,24sevenresearchnetwork.com,47.16,False
0,24-SEVEN MEDIA NETWORK (PRIVATE) LIMITED,EmerioSoft,emeriosoft.com,45.49,False
0,24-SEVEN MEDIA NETWORK (PRIVATE) LIMITED,Asiatic Public Relations Network,apr.com.pk,76.54,False
1,2OPERATE A/S,2operate,2operate.com,78.59,True
1,2OPERATE A/S,CO 2 Operate,co2operate.com,50.0,False
1,2OPERATE A/S,Conzentrate,conzentrate.com,59.58,False
1,2OPERATE A/S,2A Pharma ApS.,2apharma.com,60.11,False
1,2OPERATE A/S,RenSams Solutions,rensams.dk,63.53,False
2,3 STEP IT A/S,3 Step IT A/S.,3stepit.dk,93.88,True
2,3 STEP IT A/S,3 Sixty IT Services,3sixty-its.co.uk,42.98,False
2,3 STEP IT A/S,3stepIT,3stepit.se,53.0,False
2,3 STEP IT A/S,3Step IT Oy.,karei.dev,47.02,False
2,3 STEP IT A/S,3IT,3it.cl,39.0,False
3,3 STEP IT AS,NIFU,iscy.no,56.33,False
3,3 STEP IT AS,3Step IT Oy.,karei.dev,47.67,False
3,3 STEP IT AS,3stepIT,3stepit.se,55.41,False
3,3 STEP IT AS,3 Step IT A/S.,3stepit.dk,61.38,True
3,3 STEP IT AS,3Step IT Group,3stepit.com,52.22,False
4,3 Step IT Sweden AB,Proact IT Sweden,proact.se,67.25,False
4,3 Step IT Sweden AB,3Step IT Group,3stepit.com,50.56,False
4,3 Step IT Sweden AB,3IT,3it.cl,33.91,False
4,3 Step IT Sweden AB,We Dig It,wedigit.se,71.48,True
4,3 Step IT Sweden AB,Basta Horlurarna,bastahorlurarna.se,70.88,False
5,"3DEGREES GROUP, INC.",3 degrees,3degrees.work,63.67,False
5,"3DEGREES GROUP, INC.",3DegreesCR,3deginc.com,55.42,False
5,"3DEGREES GROUP, INC.",3Degrees Inc.,3degreesinc.com,74.15,True
5,"3DEGREES GROUP, INC.",3Degrees Media,3degrees.asia,50.93,False
5,"3DEGREES GROUP, INC.",3 Degrees,3degreessf.com,56.35,False
6,3Step IT Group Oy,3 Step,3step.in,42.39,False
6,3Step IT Group Oy,3Step IT Oy.,karei.dev,66.34,False
6,3Step IT Group Oy,3 Step,3-step.ru,43.53,False
6,3Step IT Group Oy,3Step IT Group,3stepit.com,78.99,True
6,3Step IT Group Oy,3step,three-step.jp,39.72,False
7,A.T. KEARNEY AB,Atab civiele techniek,atabcivieletechniek.nl,29.65,False
7,A.T. KEARNEY AB,Jennies Hundsalong,jennieshundsalong.com,38.69,False
7,A.T. KEARNEY AB,A&T VVS,atvvs.nu,38.41,False
7,A.T. KEARNEY AB,Kearney India,kearney.in,50.71,False
7,A.T. KEARNEY AB,AT RÖRSERVICE,vvshagersten.se,62.95,True
8,A. T. KEARNEY PTE. LTD,Binary Core,binarycore.com,29.71,False
8,A. T. KEARNEY PTE. LTD,ATKEARNEY,atkearney.top,44.89,False
8,A. T. KEARNEY PTE. LTD,Atkearney,atkearney.dk,44.89,False
8,A. T. KEARNEY PTE. LTD,Kearney,kearney.cn,45.74,True
8,A. T. KEARNEY PTE. LTD,At Kearney 361 Grad,atkearney361grad.de,44.68,False
9,AALBORG CITY,Aalborg Hotel,aalborg-airport-hotel-norresundby.booked.net,69.85,False
9,AALBORG CITY,AALBORG CITY,aalborgcity.dk,98.64,True
9,AALBORG CITY,Aalborg City Gymnasium,aalborgcitygymnasium.dk,87.58,False
